index,job_title,salary_estimate,Rating,company_name,Location,Size,founded,industry,sector,revenue,type_of_ownership
181,Information Technology/Data Scientist,$44K - $58K (Employer est.),-1,Endodontic SuperSystems,"Fresno, CA",-1,-1,-1,-1,-1,-1
182,Data Analyst 2 – Strategic Analytics,$113K (Employer est.),3.7,Nordstrom,"Seattle, WA",10000+ Employees,1901,"Department, Clothing, & Shoe Stores","Department, Clothing, & Shoe Stores",$10+ billion (USD),Company - Public
183,Data Scientist,,4.2,Akoya Biosciences,"Marlborough, MA",51 to 200 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,Biotech & Pharmaceuticals
184,"Data Scientist, Pricing",$67K - $139K (Glassdoor est.),2.9,GameStop,"Seattle, WA",10000+ Employees,2000,Toy & Hobby Stores,Toy & Hobby Stores,$5 to $10 billion (USD),Company - Public
185,Data Scientist,$150K (Employer est.),4.3,American Capital Group,"Bellevue, WA",51 to 200 Employees,1986,Real Estate,Real Estate,Unknown / Non-Applicable,Company - Private
186,Data Scientist,$65K (Employer est.),-1,Opanga Networks,"Seattle, WA",-1,-1,-1,-1,-1,-1
187,Machine Learning Scientist,-1,-1,"Prenosis, Inc.",Remote,-1,-1,-1,-1,-1,-1
188,Data Scientist,$100K - $125K (Employer est.),4.5,Sightly,Remote,1 to 50 Employees,Company - Public,Business Services,Business Services,-1,Advertising & Marketing
189,Data Scientist I - 637,-1,-1,"O'Neil Global Advisors, Inc.","Austin, TX",-1,-1,-1,-1,-1,-1
190,Data Scientist,$80K - $100K (Employer est.),4.0,"Continental Finance Company, LLC","Wilmington, DE",51 to 200 Employees,2005,Lending,Lending,$5 to $10 million (USD),Company - Private
191,Data Scientist,-1,4.8,Density Inc.,Remote,1 to 50 Employees,2014,Internet,Internet,Unknown / Non-Applicable,Company - Private
192,Data Scientist/ Engineer,-1,-1,BlueChew,"Chicago, IL",-1,-1,-1,-1,-1,-1
193,Data Scientist,$35 - $75 Per Hour(Employer est.),-1,MetLife Legal Plans,Remote,-1,-1,-1,-1,-1,-1
194,Data Scientist,-1,-1,Orion Solutions Group,"Detroit, MI",-1,-1,-1,-1,-1,-1
195,Machine Learning Scientist,$88K - $180K (Glassdoor est.),4.9,Sense,"Cambridge, MA",1 to 50 Employees,2013,Computer Hardware & Software,Computer Hardware & Software,Unknown / Non-Applicable,Company - Private
196,Statistician,$24 - $30 Per Hour(Employer est.),-1,"Psychology Software Tools, Inc","Sharpsburg, PA",-1,-1,-1,-1,-1,-1
197,Data Scientist,$100K - $125K (Employer est.),-1,"VoltaGrid, LLC",Remote,-1,-1,-1,-1,-1,-1
198,Data Scientist (Trust & Standards) - FreeWheel,$58K - $152K (Glassdoor est.),3.8,Comcast,"New York, NY",10000+ Employees,1963,Telecommunications Services,Telecommunications Services,$10+ billion (USD),Company - Public
199,Geospatial Data Scientist,$145K - $175K (Employer est.),-1,EpochGeo,"Reston, VA",-1,-1,-1,-1,-1,-1
